,plate,sample,mpn,mpn_adj,upper,lower
0,plate_0,0,100544457.30373992,92201120.76917788,229598453.45006913,229598453.45006913
1,plate_1,1,112438260.39086165,102975267.99692747,260954578.7896348,260954578.7896348
2,plate_2,2,33882991.92497831,27978765.87699776,68116407.7712856,68116407.7712856
3,plate_3,3,7636578.755027564,6877494.43528418,18289661.520340722,18289661.520340722
4,plate_4,4,751588.3720523488,675284.7998084268,1195778.2260481496,1195778.2260481496
5,plate_5,5,10324.976782659569,9468.44439059077,16682.724282249328,16682.724282249328
6,plate_6,6,10135970.46983912,9295320.544005232,23161722.03470454,23161722.03470454
7,plate_7,7,25840662.955640458,22135747.805703994,53892129.006072514,53892129.006072514
8,plate_8,8,3932331.1030327184,3203424.056236029,7811076.764373644,7811076.764373644
9,plate_9,9,58829485.4111287,50169561.50457704,111081648.82346366,111081648.82346366
10,plate_10,10,112438260.39086165,102975267.99692747,260954578.7896348,260954578.7896348
11,plate_11,11,62975407.84121831,54595042.04742055,119948131.94798285,119948131.94798285
12,plate_12,12,61423452.6742236,52931599.878094375,154290844.62534404,154290844.62534404
13,plate_13,13,18550664.042904284,16492165.626070103,40520264.63877715,40520264.63877715
14,plate_14,14,57621062.14324103,48895700.92430312,141510007.38789594,141510007.38789594
15,plate_15,15,745225.4179674267,668680.6067658942,1348962.8424620666,1348962.8424620666
16,plate_16,16,7636578.755027564,6877494.43528418,18289661.520340722,18289661.520340722
17,plate_17,17,2858638.3155997535,2415156.5059683737,6745227.295689673,6745227.295689673
18,plate_18,18,12079706.843868224,11038452.349653276,26153269.005670637,26153269.005670637
19,plate_19,19,4627278.835476612,3778463.249484945,11476663.073472435,11476663.073472435
20,plate_20,20,13508776.127056323,12281901.631969461,29745316.792023208,29745316.792023208
21,plate_21,21,135111444.96570602,122835162.3138673,297510496.5528265,297510496.5528265
22,plate_22,22,119782238.49780594,109487918.61798927,259170438.9592261,259170438.9592261
23,plate_23,23,101374316.91420358,92964178.60700649,231653162.12742278,231653162.12742278
