Crank angle,In-cylinder Pressure
CA,bar
-360.82,2.11295
-360.32,2.48655
-359.82,2.53689
-359.32,2.53337
-358.82,2.51962
-358.32,2.50152
-357.82,2.47911
-357.32,2.45447
-356.82,2.42821
-356.32,2.39885
-355.82,2.36592
-355.32,2.33076
-354.82,2.29427
-354.32,2.25468
-353.82,2.21258
-353.32,2.17203
-352.82,2.1329
-352.32,2.09272
-351.82,2.05229
-351.32,2.01361
-350.82,1.97743
-350.32,1.94293
-349.82,1.90979
-349.32,1.87789
-348.82,1.84672
-348.32,1.81677
-347.82,1.7891
-347.32,1.76436
-346.82,1.74324
-346.32,1.7259
-345.82,1.71114
-345.32,1.6988
-344.82,1.68997
-344.32,1.68502
-343.82,1.68237
-343.32,1.68121
-342.82,1.68231
-342.32,1.68539
-341.82,1.68961
-341.32,1.69503
-340.82,1.7015
-340.32,1.70762
-339.82,1.71401
-339.32,1.72043
-338.82,1.72503
-338.32,1.72908
-337.82,1.73243
-337.32,1.73416
-336.82,1.73534
-336.32,1.7363
-335.82,1.73727
-335.32,1.73742
-334.82,1.73691
-334.32,1.73708
-333.82,1.73686
-333.32,1.73451
-332.82,1.73158
-332.32,1.72966
-331.82,1.72682
-331.32,1.72247
-330.82,1.71798
-330.32,1.71483
-329.82,1.71384
-329.32,1.71523
-328.82,1.72087
-328.32,1.73156
-327.82,1.74543
-327.32,1.76262
-326.82,1.78259
-326.32,1.80078
-325.82,1.81398
-325.32,1.82365
-324.82,1.83165
-324.32,1.83699
-323.82,1.84043
-323.32,1.84421
-322.82,1.84721
-322.32,1.84796
-321.82,1.84831
-321.32,1.85157
-320.82,1.85614
-320.32,1.85756
-319.82,1.85751
-319.32,1.85709
-318.82,1.85539
-318.32,1.85437
-317.82,1.85481
-317.32,1.85615
-316.82,1.85746
-316.32,1.85811
-315.82,1.85798
-315.32,1.85723
-314.82,1.85588
-314.32,1.85352
-313.82,1.85064
-313.32,1.8485
-312.82,1.84656
-312.32,1.84407
-311.82,1.8415
-311.32,1.83966
-310.82,1.83906
-310.32,1.8386
-309.82,1.83726
-309.32,1.83517
-308.82,1.83458
-308.32,1.83492
-307.82,1.83332
-307.32,1.83162
-306.82,1.83151
-306.32,1.83193
-305.82,1.83197
-305.32,1.83154
-304.82,1.83178
