Hall,Spg_num,Spg_full,Symbol,P,P^-1
1,1,1,P 1,"a,b,c","a,b,c"
2,2,2,P -1,"a,b,c","a,b,c"
3,3,3:b,P 1 2 1,"a,b,c","a,b,c"
4,3,3:c,P 1 1 2,"c,a,b","b,c,a"
5,3,3:a,P 2 1 1,"b,c,a","c,a,b"
6,4,4:b,P 1 21 1,"a,b,c","a,b,c"
7,4,4:c,P 1 1 21,"c,a,b","b,c,a"
8,4,4:a,P 21 1 1,"b,c,a","c,a,b"
9,5,5:b1,C 1 2 1,"a,b,c","a,b,c"
10,5,5:b2,A 1 2 1,"c,-b,a","c,-b,a"
11,5,5:b3,I 1 2 1,"c,b,-a-c","-a-c,b,a"
12,5,5:c1,A 1 1 2,"c,a,b","b,c,a"
13,5,5:c2,B 1 1 2,"a,c,-b","a,-c,b"
14,5,5:c3,I 1 1 2,"-a-c,c,b","-a-b,c,b"
15,5,5:a1,B 2 1 1,"b,c,a","c,a,b"
16,5,5:a2,C 2 1 1,"-b,a,c","b,-a,c"
17,5,5:a3,I 2 1 1,"b,-a-c,c","-b-c,a,c"
18,6,6:b,P 1 m 1,"a,b,c","a,b,c"
19,6,6:c,P 1 1 m,"c,a,b","b,c,a"
20,6,6:a,P m 1 1,"b,c,a","c,a,b"
21,7,7:b1,P 1 c 1,"a,b,c","a,b,c"
22,7,7:b2,P 1 n 1,"-a-c,b,a","c,b,-a-c"
23,7,7:b3,P 1 a 1,"c,-b,a","c,-b,a"
24,7,7:c1,P 1 1 a,"c,a,b","b,c,a"
25,7,7:c2,P 1 1 n,"a,-a-c,b","a,c,-a-b"
26,7,7:c3,P 1 1 b,"a,c,-b","a,-c,b"
27,7,7:a1,P b 1 1,"b,c,a","c,a,b"
28,7,7:a2,P n 1 1,"b,a,-a-c","b,a,-b-c"
29,7,7:a3,P c 1 1,"-b,a,c","b,-a,c"
30,8,8:b1,C 1 m 1,"a,b,c","a,b,c"
31,8,8:b2,A 1 m 1,"c,-b,a","c,-b,a"
32,8,8:b3,I 1 m 1,"c,b,-a-c","-a-c,b,a"
33,8,8:c1,A 1 1 m,"c,a,b","b,c,a"
34,8,8:c2,B 1 1 m,"a,c,-b","a,-c,b"
35,8,8:c3,I 1 1 m,"-a-c,c,b","-a-b,c,b"
36,8,8:a1,B m 1 1,"b,c,a","c,a,b"
37,8,8:a2,C m 1 1,"-b,a,c","b,-a,c"
38,8,8:a3,I m 1 1,"b,-a-c,c","-b-c,a,c"
39,9,9:b1,C 1 c 1,"a,b,c","a,b,c"
40,9,9:b2,A 1 n 1,"-a-c,b,a","c,b,-a-c"
41,9,9:b3,I 1 a 1,"c,b,-a-c","-a-c,b,a"
42,9,9:-b1,A 1 a 1,"c,-b,a","c,-b,a"
43,9,9:-b2,C 1 n 1,"a,-b,-a-c","a,-b,-a-c"
44,9,9:-b3,I 1 c 1,"-a-c,-b,c","-a-c,-b,c"
45,9,9:c1,A 1 1 a,"c,a,b","b,c,a"
46,9,9:c2,B 1 1 n,"a,-a-c,b","a,c,-a-b"
47,9,9:c3,I 1 1 b,"-a-c,c,b","-a-b,c,b"
48,9,9:-c1,B 1 1 b,"a,c,-b","a,-c,b"
49,9,9:-c2,A 1 1 n,"-a-c,a,-b","b,-c,-a-b"
50,9,9:-c3,I 1 1 a,"c,-a-c,-b","-a-b,-c,a"
51,9,9:a1,B b 1 1,"b,c,a","c,a,b"
52,9,9:a2,C n 1 1,"-b,a,c","b,-a,c"
53,9,9:a3,I c 1 1,"b,-a-c,c","-b-c,a,c"
54,9,9:-a1,C c 1 1,"-b,a,c","b,-a,c"
55,9,9:-a2,B n 1 1,"-b,-a-c,a","c,-a,-b-c"
56,9,9:-a3,I b 1 1,"-b,c,-a-c","-b-c,-a,b"
57,10,10:b,P 1 2/m 1,"a,b,c","a,b,c"
58,10,10:c,P 1 1 2/m,"c,a,b","b,c,a"
59,10,10:a,P 2/m 1 1,"b,c,a","c,a,b"
60,11,11:b,P 1 21/m 1,"a,b,c","a,b,c"
61,11,11:c,P 1 1 21/m,"c,a,b","b,c,a"
62,11,11:a,P 21/m 1 1,"b,c,a","c,a,b"
63,12,12:b1,C 1 2/m 1,"a,b,c","a,b,c"
64,12,12:b2,A 1 2/m 1,"c,-b,a","c,-b,a"
65,12,12:b3,I 1 2/m 1,"c,b,-a-c","-a-c,b,a"
66,12,12:c1,A 1 1 2/m,"c,a,b","b,c,a"
67,12,12:c2,B 1 1 2/m,"a,c,-b","a,-c,b"
68,12,12:c3,I 1 1 2/m,"-a-c,c,b","-a-b,c,b"
69,12,12:a1,B 2/m 1 1,"b,c,a","c,a,b"
70,12,12:a2,C 2/m 1 1,"-b,a,c","b,-a,c"
71,12,12:a3,I 2/m 1 1,"b,-a-c,c","-b-c,a,c"
72,13,13:b1,P 1 2/c 1,"a,b,c","a,b,c"
73,13,13:b2,P 1 2/n 1,"-a-c,b,a","c,b,-a-c"
74,13,13:b3,P 1 2/a 1,"c,-b,a","c,-b,a"
75,13,13:c1,P 1 1 2/a,"c,a,b","b,c,a"
76,13,13:c2,P 1 1 2/n,"a,-a-c,b","a,c,-a-b"
77,13,13:c3,P 1 1 2/b,"a,c,-b","a,-c,b"
78,13,13:a1,P 2/b 1 1,"b,c,a","c,a,b"
79,13,13:a2,P 2/n 1 1,"b,a,-a-c","b,a,-b-c"
80,13,13:a3,P 2/c 1 1,"-b,a,c","b,-a,c"
81,14,14:b1,P 1 21/c 1,"a,b,c","a,b,c"
82,14,14:b2,P 1 21/n 1,"-a-c,b,a","c,b,-a-c"
83,14,14:b3,P 1 21/a 1,"c,-b,a","c,-b,a"
84,14,14:c1,P 1 1 21/a,"c,a,b","b,c,a"
85,14,14:c2,P 1 1 21/n,"a,-a-c,b","a,c,-a-b"
86,14,14:c3,P 1 1 21/b,"-a-c,c,b","-a-b,c,b"
87,14,14:a1,P 21/b 1 1,"b,c,a","c,a,b"
88,14,14:a2,P 21/n 1 1,"b,a,-a-c","b,a,-b-c"
89,14,14:a3,P 21/c 1 1,"b,-a-c,c","-b-c,a,c"
90,15,15:b1,C 1 2/c 1,"a,b,c","a,b,c"
91,15,15:b2,A 1 2/n 1,"-a-c,b,a","c,b,-a-c"
92,15,15:b3,I 1 2/a 1,"c,b,-a-c","-a-c,b,a"
93,15,15:-b1,A 1 2/a 1,"c,-b,a","c,-b,a"
94,15,15:-b2,C 1 2/n 1,"a,-b,-a-c","a,-b,-a-c"
95,15,15:-b3,I 1 2/c 1,"-a-c,-b,c","-a-c,-b,c"
96,15,15:c1,A 1 1 2/a,"c,a,b","b,c,a"
97,15,15:c2,B 1 1 2/n,"a,-a-c,b","a,c,-a-b"
98,15,15:c3,I 1 1 2/b,"-a-c,c,b","-a-b,c,b"
99,15,15:-c1,B 1 1 2/b,"a,c,-b","a,-c,b"
100,15,15:-c2,A 1 1 2/n,"-a-c,a,-b","b,-c,-a-b"
101,15,15:-c3,I 1 1 2/a,"c,-a-c,-b","-a-b,-c,a"
102,15,15:a1,B 2/b 1 1,"b,c,a","c,a,b"
103,15,15:a2,C 2/n 1 1,"b,a,-a-c","b,a,-b-c"
104,15,15:a3,I 2/c 1 1,"b,-a-c,c","-b-c,a,c"
105,15,15:-a1,C 2/c 1 1,"-b,a,c","b,-a,c"
106,15,15:-a2,B 2/n 1 1,"-b,-a-c,a","c,-a,-b-c"
107,15,15:-a3,I 2/b 1 1,"-b,c,-a-c","-b-c,-a,b"
108,16,16,P 2 2 2,"a,b,c","a,b,c"
109,17,17,P 2 2 21,"a,b,c","a,b,c"
110,17,17:cab,P 21 2 2,"c,a,b","b,c,a"
111,17,17:bca,P 2 21 2,"b,c,a","c,a,b"
112,18,18,P 21 21 2,"a,b,c","a,b,c"
113,18,18:cab,P 2 21 21,"c,a,b","b,c,a"
114,18,18:bca,P 21 2 21,"b,c,a","c,a,b"
115,19,19,P 21 21 21,"a,b,c","a,b,c"
116,20,20,C 2 2 21,"a,b,c","a,b,c"
117,20,20:cab,A 21 2 2,"c,a,b","b,c,a"
118,20,20:bca,B 2 21 2,"b,c,a","c,a,b"
119,21,21,C 2 2 2,"a,b,c","a,b,c"
120,21,21:cab,A 2 2 2,"c,a,b","b,c,a"
121,21,21:bca,B 2 2 2,"b,c,a","c,a,b"
122,22,22,F 2 2 2,"a,b,c","a,b,c"
123,23,23,I 2 2 2,"a,b,c","a,b,c"
124,24,24,I 21 21 21,"a,b,c","a,b,c"
125,25,25,P m m 2,"a,b,c","a,b,c"
126,25,25:cab,P 2 m m,"c,a,b","b,c,a"
127,25,25:bca,P m 2 m,"b,c,a","c,a,b"
128,26,26,P m c 21,"a,b,c","a,b,c"
129,26,26:ba-c,P c m 21,"b,a,-c","b,a,-c"
