Hall,Spg_num,Spg_full,Symbol,P,P^-1
130,26,26:cab,P 21 m a,"c,a,b","b,c,a"
131,26,26:-cba,P 21 a m,"-c,b,a","c,b,-a"
132,26,26:bca,P b 21 m,"b,c,a","c,a,b"
133,26,26:a-cb,P m 21 b,"a,-c,b","a,c,-b"
134,27,27,P c c 2,"a,b,c","a,b,c"
135,27,27:cab,P 2 a a,"c,a,b","b,c,a"
136,27,27:bca,P b 2 b,"b,c,a","c,a,b"
137,28,28,P m a 2,"a,b,c","a,b,c"
138,28,28:ba-c,P b m 2,"b,a,-c","b,a,-c"
139,28,28:cab,P 2 m b,"c,a,b","b,c,a"
140,28,28:-cba,P 2 c m,"-c,b,a","c,b,-a"
141,28,28:bca,P c 2 m,"b,c,a","c,a,b"
142,28,28:a-cb,P m 2 a,"a,-c,b","a,c,-b"
143,29,29,P c a 21,"a,b,c","a,b,c"
144,29,29:ba-c,P b c 21,"b,a,-c","b,a,-c"
145,29,29:cab,P 21 a b,"c,a,b","b,c,a"
146,29,29:-cba,P 21 c a,"-c,b,a","c,b,-a"
147,29,29:bca,P c 21 b,"b,c,a","c,a,b"
148,29,29:a-cb,P b 21 a,"a,-c,b","a,c,-b"
149,30,30,P n c 2,"a,b,c","a,b,c"
150,30,30:ba-c,P c n 2,"b,a,-c","b,a,-c"
151,30,30:cab,P 2 n a,"c,a,b","b,c,a"
152,30,30:-cba,P 2 a n,"-c,b,a","c,b,-a"
153,30,30:bca,P b 2 n,"b,c,a","c,a,b"
154,30,30:a-cb,P n 2 b,"a,-c,b","a,c,-b"
155,31,31,P m n 21,"a,b,c","a,b,c"
156,31,31:ba-c,P n m 21,"b,a,-c","b,a,-c"
157,31,31:cab,P 21 m n,"c,a,b","b,c,a"
158,31,31:-cba,P 21 n m,"-c,b,a","c,b,-a"
159,31,31:bca,P n 21 m,"b,c,a","c,a,b"
160,31,31:a-cb,P m 21 n,"a,-c,b","a,c,-b"
161,32,32,P b a 2,"a,b,c","a,b,c"
162,32,32:cab,P 2 c b,"c,a,b","b,c,a"
163,32,32:bca,P c 2 a,"b,c,a","c,a,b"
164,33,33,P n a 21,"a,b,c","a,b,c"
165,33,33:ba-c,P b n 21,"b,a,-c","b,a,-c"
166,33,33:cab,P 21 n b,"c,a,b","b,c,a"
167,33,33:-cba,P 21 c n,"-c,b,a","c,b,-a"
168,33,33:bca,P c 21 n,"b,c,a","c,a,b"
169,33,33:a-cb,P n 21 a,"a,-c,b","a,c,-b"
170,34,34,P n n 2,"a,b,c","a,b,c"
171,34,34:cab,P 2 n n,"c,a,b","b,c,a"
172,34,34:bca,P n 2 n,"b,c,a","c,a,b"
173,35,35,C m m 2,"a,b,c","a,b,c"
174,35,35:cab,A 2 m m,"c,a,b","b,c,a"
175,35,35:bca,B m 2 m,"b,c,a","c,a,b"
176,36,36,C m c 21,"a,b,c","a,b,c"
177,36,36:ba-c,C c m 21,"b,a,-c","b,a,-c"
178,36,36:cab,A 21 m a,"c,a,b","b,c,a"
179,36,36:-cba,A 21 a m,"-c,b,a","c,b,-a"
180,36,36:bca ,B b 21 m,"b,c,a","c,a,b"
181,36,36:a-cb,B m 21 b,"a,-c,b","a,c,-b"
182,37,37,C c c 2,"a,b,c","a,b,c"
183,37,37:cab,A 2 a a,"c,a,b","b,c,a"
184,37,37:bca,B b 2 b,"b,c,a","c,a,b"
185,38,38,A m m 2,"a,b,c","a,b,c"
186,38,38:ba-c,B m m 2,"b,a,-c","b,a,-c"
187,38,38:cab,B 2 m m,"c,a,b","b,c,a"
188,38,38:-cba,C 2 m m,"-c,b,a","c,b,-a"
189,38,38:bca,C m 2 m,"b,c,a","c,a,b"
190,38,38:a-cb,A m 2 m,"a,-c,b","a,c,-b"
191,39,39,A b m 2,"a,b,c","a,b,c"
192,39,39:ba-c,B m a 2,"b,a,-c","b,a,-c"
193,39,39:cab,B 2 c m,"c,a,b","b,c,a"
194,39,39:-cba,C 2 m b,"-c,b,a","c,b,-a"
195,39,39:bca,C m 2 a,"b,c,a","c,a,b"
196,39,39:a-cb,A c 2 m,"a,-c,b","a,c,-b"
197,40,40,A m a 2,"a,b,c","a,b,c"
198,40,40:ba-c,B b m 2,"b,a,-c","b,a,-c"
199,40,40:cab,B 2 m b,"c,a,b","b,c,a"
200,40,40:-cba,C 2 c m,"-c,b,a","c,b,-a"
201,40,40:bca,C c 2 m,"b,c,a","c,a,b"
202,40,40:a-cb,A m 2 a,"a,-c,b","a,c,-b"
203,41,41,A b a 2,"a,b,c","a,b,c"
204,41,41:ba-c,B b a 2,"b,a,-c","b,a,-c"
205,41,41:cab,B 2 c b,"c,a,b","b,c,a"
206,41,41:-cba,C 2 c b,"-c,b,a","c,b,-a"
207,41,41:bca,C c 2 a,"b,c,a","c,a,b"
208,41,41:a-cb,A c 2 a,"a,-c,b","a,c,-b"
209,42,42,F m m 2,"a,b,c","a,b,c"
210,42,42:cab,F 2 m m,"c,a,b","b,c,a"
211,42,42:bca,F m 2 m,"b,c,a","c,a,b"
212,43,43,F d d 2,"a,b,c","a,b,c"
213,43,43:cab,F 2 d d,"c,a,b","b,c,a"
214,43,43:bca,F d 2 d,"b,c,a","c,a,b"
215,44,44,I m m 2,"a,b,c","a,b,c"
216,44,44:cab,I 2 m m,"c,a,b","b,c,a"
217,44,44:bca,I m 2 m,"b,c,a","c,a,b"
218,45,45,I b a 2,"a,b,c","a,b,c"
219,45,45:cab,I 2 c b,"c,a,b","b,c,a"
220,45,45:bca,I c 2 a,"b,c,a","c,a,b"
221,46,46,I m a 2,"a,b,c","a,b,c"
222,46,46:ba-c,I b m 2,"b,a,-c","b,a,-c"
223,46,46:cab,I 2 m b,"c,a,b","b,c,a"
224,46,46:-cba,I 2 c m,"-c,b,a","c,b,-a"
225,46,46:bca ,I c 2 m,"b,c,a","c,a,b"
226,46,46:a-cb,I m 2 a,"a,-c,b","a,c,-b"
227,47,47,P m m m,"a,b,c","a,b,c"
228,48,48:1,P n n n:1,"a+1/4,b+1/4,c+1/4","a-1/4,b-1/4,c-1/4"
229,48,48:2,P n n n:2,"a,b,c","a,b,c"
230,49,49,P c c m,"a,b,c","a,b,c"
231,49,49:cab,P m a a,"c,a,b","b,c,a"
232,49,49:bca,P b m b,"b,c,a","c,a,b"
233,50,50:1,P b a n:1,"a+1/4,b+1/4,c","a-1/4,b-1/4,c"
234,50,50:2,P b a n:2,"a,b,c","a,b,c"
235,50,50:1cab,P n c b:1,"c+1/4,a+1/4,b","b,c-1/4,a-1/4"
236,50,50:2cab,P n c b:2,"c,a,b","b,c,a"
237,50,50:1bca,P c n a:1,"b+1/4,c+1/4,a","c-1/4,a,b-1/4"
238,50,50:2bca,P c n a:2,"b,c,a","c,a,b"
239,51,51,P m m a,"a,b,c","a,b,c"
240,51,51:ba-c,P m m b,"b,a,-c","b,a,-c"
241,51,51:cab,P b m m,"c,a,b","b,c,a"
242,51,51:-cba,P c m m,"-c,b,a","c,b,-a"
243,51,51:bca,P m c m,"b,c,a","c,a,b"
244,51,51:a-cb,P m a m,"a,-c,b","a,c,-b"
245,52,52,P n n a,"a,b,c","a,b,c"
246,52,52:ba-c,P n n b,"b,a,-c","b,a,-c"
247,52,52:cab,P b n n,"c,a,b","b,c,a"
248,52,52:-cba,P c n n,"-c,b,a","c,b,-a"
249,52,52:bca,P n c n,"b,c,a","c,a,b"
250,52,52:a-cb,P n a n,"a,-c,b","a,c,-b"
251,53,53,P m n a,"a,b,c","a,b,c"
252,53,53:ba-c,P n m b,"b,a,-c","b,a,-c"
253,53,53:cab,P b m n,"c,a,b","b,c,a"
254,53,53:-cba,P c n m,"-c,b,a","c,b,-a"
255,53,53:bca,P n c m,"b,c,a","c,a,b"
256,53,53:a-cb,P m a n,"a,-c,b","a,c,-b"
257,54,54,P c c a,"a,b,c","a,b,c"
258,54,54:ba-c,P c c b,"b,a,-c","b,a,-c"
259,54,54:cab,P b a a,"c,a,b","b,c,a"
260,54,54:-cba,P c a a,"-c,b,a","c,b,-a"
261,54,54:bca,P b c b,"b,c,a","c,a,b"
262,54,54:a-cb,P b a b,"a,-c,b","a,c,-b"
263,55,55,P b a m,"a,b,c","a,b,c"
264,55,55:cab,P m c b,"c,a,b","b,c,a"
265,55,55:bca,P c m a,"b,c,a","c,a,b"
266,56,56,P c c n,"a,b,c","a,b,c"
267,56,56:cab,P n a a,"c,a,b","b,c,a"
268,56,56:bca,P b n b,"b,c,a","c,a,b"
269,57,57,P b c m,"a,b,c","a,b,c"
270,57,57:ba-c,P c a m,"b,a,-c","b,a,-c"
271,57,57:cab,P m c a,"c,a,b","b,c,a"
272,57,57:-cba,P m a b,"-c,b,a","c,b,-a"
273,57,57:bca,P b m a,"b,c,a","c,a,b"
274,57,57:a-cb,P c m b,"a,-c,b","a,c,-b"
275,58,58,P n n m,"a,b,c","a,b,c"
276,58,58:cab,P m n n,"c,a,b","b,c,a"
277,58,58:bca,P n m n,"b,c,a","c,a,b"
278,59,59:1,P m m n:1,"a+1/4,b+1/4,c","a-1/4,b-1/4,c"
279,59,59:2,P m m n:2,"a,b,c","a,b,c"
280,59,59:1cab,P n m m:1,"c+1/4,a+1/4,b","b,c-1/4,a-1/4"
281,59,59:2cab,P n m m:2,"c,a,b","b,c,a"
282,59,59:1bca,P m n m:1,"b+1/4,c+1/4,a","c-1/4,a,b-1/4"
283,59,59:2bca,P m n m:2,"b,c,a","c,a,b"
284,60,60,P b c n,"a,b,c","a,b,c"
285,60,60:ba-c,P c a n,"b,a,-c","b,a,-c"
286,60,60:cab,P n c a,"c,a,b","b,c,a"
287,60,60:-cba,P n a b,"-c,b,a","c,b,-a"
288,60,60:bca,P b n a,"b,c,a","c,a,b"
289,60,60:a-cb,P c n b,"a,-c,b","a,c,-b"
290,61,61,P b c a,"a,b,c","a,b,c"
291,61,61:ba-c,P c a b,"b,a,-c","b,a,-c"
292,62,62,P n m a,"a,b,c","a,b,c"
293,62,62:ba-c,P m n b,"b,a,-c","b,a,-c"
294,62,62:cab,P b n m,"c,a,b","b,c,a"
295,62,62:-cba,P c m n,"-c,b,a","c,b,-a"
296,62,62:bca,P m c n,"b,c,a","c,a,b"
297,62,62:a-cb,P n a m,"a,-c,b","a,c,-b"
298,63,63,C m c m,"a,b,c","a,b,c"
299,63,63:ba-c,C c m m,"b,a,-c","b,a,-c"
300,63,63:cab,A m m a,"c,a,b","b,c,a"
301,63,63:-cba,A m a m,"-c,b,a","c,b,-a"
302,63,63:bca,B b m m,"b,c,a","c,a,b"
303,63,63:a-cb,B m m b,"a,-c,b","a,c,-b"
304,64,64,C m c a,"a,b,c","a,b,c"
305,64,64:ba-c,C c m b,"b,a,-c","b,a,-c"
306,64,64:cab,A b m a,"c,a,b","b,c,a"
307,64,64:-cba,A c a m,"-c,b,a","c,b,-a"
308,64,64:bca,B b c m,"b,c,a","c,a,b"
309,64,64:a-cb,B m a b,"a,-c,b","a,c,-b"
310,65,65,C m m m,"a,b,c","a,b,c"
311,65,65:cab,A m m m,"c,a,b","b,c,a"
312,65,65:bca,B m m m,"b,c,a","c,a,b"
313,66,66,C c c m,"a,b,c","a,b,c"
314,66,66:cab,A m a a,"c,a,b","b,c,a"
315,66,66:bca,B b m b,"b,c,a","c,a,b"
316,67,67,C m m a,"a,b,c","a,b,c"
317,67,67:ba-c,C m m b,"b,a,-c","b,a,-c"
318,67,67:cab,A b m m,"c,a,b","b,c,a"
319,67,67:-cba,A c m m,"-c,b,a","c,b,-a"
320,67,67:bca,B m c m,"b,c,a","c,a,b"
321,67,67:a-cb,B m a m,"a,-c,b","a,c,-b"
322,68,68:1,C c c a:1,"a,b+1/4,c+1/4","a,b-1/4,c-1/4"
323,68,68:2,C c c a:2,"a,b,c","a,b,c"
324,68,68:1ba-c,C c c b:1,"b,a+1/4,-c+1/4","b,a-1/4,-c-1/4"
325,68,68:2ba-c,C c c b:2,"b,a,-c","b,a,-c"
326,68,68:1cab,A b a a:1,"c,a+1/4,b+1/4","b-1/4,c,a-1/4"
327,68,68:2cab,A b a a:2,"c,a,b","b,c,a"
328,68,68:1-cba,A c a a:1,"-c,b+1/4,a+1/4","c,b-1/4,-a-1/4"
329,68,68:2-cba,A c a a:2,"-c,b,a","c,b,-a"
330,68,68:1bca,B b c b:1,"b,c+1/4,a+1/4","c-1/4,a-1/4,b"
331,68,68:2bca,B b c b:2,"b,c,a","c,a,b"
332,68,68:1a-cb,B b a b:1,"a,-c+1/4,b+1/4","a-1/4,c-1/4,-b"
333,68,68:2a-cb,B b a b:2,"a,-c,b","a,c,-b"
334,69,69,F m m m,"a,b,c","a,b,c"
335,70,70:1,F d d d:1,"a-1/8,b-1/8,c-1/8","a+1/8,b+1/8,c+1/8"
336,70,70:2,F d d d:2,"a,b,c","a,b,c"
337,71,71,I m m m,"a,b,c","a,b,c"
338,72,72,I b a m,"a,b,c","a,b,c"
339,72,72:cab,I m c b,"c,a,b","b,c,a"
340,72,72:bca,I c m a,"b,c,a","c,a,b"
341,73,73,I b c a,"a,b,c","a,b,c"
342,73,73:ba-c,I c a b,"b,a,-c","b,a,-c"
343,74,74,I m m a,"a,b,c","a,b,c"
344,74,74:ba-c,I m m b,"b,a,-c","b,a,-c"
345,74,74:cab,I b m m,"c,a,b","b,c,a"
346,74,74:-cba,I c m m,"-c,b,a	c,b,-a",
347,74,74:bca,I m c m,"b,c,a","c,a,b"
348,74,74:a-cb,I m a m,"a,-c,b","a,c,-b"
349,75,75,P 4,"a,b,c","a,b,c"
350,76,76,P 41,"a,b,c","a,b,c"
351,77,77,P 42,"a,b,c","a,b,c"
352,78,78,P 43,"a,b,c","a,b,c"
353,79,79,I 4,"a,b,c","a,b,c"
354,80,80,I 41,"a,b,c","a,b,c"
355,81,81,P -4,"a,b,c","a,b,c"
356,82,82,I -4,"a,b,c","a,b,c"
357,83,83,P 4/m,"a,b,c","a,b,c"
358,84,84,P 42/m,"a,b,c","a,b,c"
359,85,85:1,P 4/n:1,"a-1/4,b+1/4,c","a+1/4,b-1/4,c"
360,85,85:2,P 4/n:2,"a,b,c","a,b,c"
361,86,86:1,P 42/n:1,"a-1/4,b-1/4,c-1/4","a+1/4,b+1/4,c+1/4"
362,86,86:2,P 42/n:2,"a,b,c","a,b,c"
363,87,87,I 4/m,"a,b,c","a,b,c"
364,88,88:1,I 41/a:1,"a,b-1/4,c-1/8","a,b+1/4,c+1/8"
365,88,88:2,I 41/a:2,"a,b,c","a,b,c"
366,89,89,P 4 2 2,"a,b,c","a,b,c"
367,90,90,P 42 1 2,"a,b,c","a,b,c"
368,91,91,P 41 2 2,"a,b,c","a,b,c"
369,92,92,P 41 21 2,"a,b,c","a,b,c"
370,93,93,P 42 2 2,"a,b,c","a,b,c"
371,94,94,P 42 21 2,"a,b,c","a,b,c"
372,95,95,P 43 2 2,"a,b,c","a,b,c"
373,96,96,P 43 21 2,"a,b,c","a,b,c"
374,97,97,I 4 2 2,"a,b,c","a,b,c"
375,98,98,I 41 2 2,"a,b,c","a,b,c"
376,99,99,P 4 m m,"a,b,c","a,b,c"
377,100,100,P 4 b m,"a,b,c","a,b,c"
378,101,101,P 42 c m,"a,b,c","a,b,c"
379,102,102,P 42 n m,"a,b,c","a,b,c"
380,103,103,P 4 c c,"a,b,c","a,b,c"
381,104,104,P 4 n c,"a,b,c","a,b,c"
382,105,105,P 42 m c,"a,b,c","a,b,c"
383,106,106,P 42 b c,"a,b,c","a,b,c"
384,107,107,I 4 m m,"a,b,c","a,b,c"
385,108,108,I 4 c m,"a,b,c","a,b,c"
386,109,109,I 41 m d,"a,b,c","a,b,c"
387,110,110,I 41 c d,"a,b,c","a,b,c"
388,111,111,P -4 2 m,"a,b,c","a,b,c"
389,112,112,P -4 2 c,"a,b,c","a,b,c"
390,113,113,P -4 21 m,"a,b,c","a,b,c"
391,114,114,P -4 21 c,"a,b,c","a,b,c"
392,115,115,P -4 m 2,"a,b,c","a,b,c"
393,116,116,P -4 c 2,"a,b,c","a,b,c"
394,117,117,P -4 b 2,"a,b,c","a,b,c"
395,118,118,P -4 n 2,"a,b,c","a,b,c"
396,119,119,I -4 m 2,"a,b,c","a,b,c"
397,120,120,I -4 c 2,"a,b,c","a,b,c"
398,121,121,I -4 2 m,"a,b,c","a,b,c"
399,122,122,I -4 2 d,"a,b,c","a,b,c"
400,123,123,P 4/m m m,"a,b,c","a,b,c"
401,124,124,P 4/m c c,"a,b,c","a,b,c"
402,125,125:1,P 4/n b m:1,"-1/4,b-1/4,c","a+1/4,b+1/4,c"
403,125,125:2,P 4/n b m:2,"a,b,c","a,b,c"
404,126,126:1,P 4/n n c:1,"a-1/4,b-1/4,c-1/4","a+1/4,b+1/4,c+1/4"
405,126,126:2,P 4/n n c:2,"a,b,c","a,b,c"
406,127,127,P 4/m b m,"a,b,c","a,b,c"
407,128,128,P 4/m n c,"a,b,c","a,b,c"
408,129,129:1,P 4/n m m:1,"a-1/4,b+1/4,c","a+1/4,b-1/4,c"
409,129,129:2,P 4/n m m:2,"a,b,c","a,b,c"
410,130,130:1,P 4/n c c:1,"a-1/4,b+1/4,c","a+1/4,b-1/4,c"
411,130,130:2,P 4/n c c:2,"a,b,c","a,b,c"
412,131,131,P 42/m m c,"a,b,c","a,b,c"
413,132,132,P 42/m c m,"a,b,c","a,b,c"
414,133,133:1,P 42/n b c:1,"a-1/4,b+1/4,c-1/4","a+1/4,b-1/4,c+1/4"
415,133,133:2,P 42/n b c:2,"a,b,c","a,b,c"
416,134,134:1,P 42/n n m:1,"a-1/4,b+1/4,c-1/4","a+1/4,b-1/4,c+1/4"
417,134,134:2,P 42/n n m:2,"a,b,c","a,b,c"
418,135,135,P 42/m b c,"a,b,c","a,b,c"
419,136,136,P 42/m n m,"a,b,c","a,b,c"
420,137,137:1,P 42/n m c:1,"a-1/4,b+1/4,c-1/4","a+1/4,b-1/4,c+1/4"
421,137,137:2,P 42/n m c:2,"a,b,c","a,b,c"
422,138,138:1,P 42/n c m:1,"a-1/4,b+1/4,c-1/4","a+1/4,b-1/4,c+1/4"
423,138,138:2,P 42/n c m:2,"a,b,c","a,b,c"
424,139,139,I 4/m m m,"a,b,c","a,b,c"
425,140,140,I 4/m c m,"a,b,c","a,b,c"
426,141,141:1,I 41/a m d:1,"a,b+1/4,c-1/8","a,b-1/4,c+1/8"
427,141,141:2,I 41/a m d:2,"a,b,c","a,b,c"
428,142,142:1,I 41/a c d:1,"a,b+1/4,c-1/8","a,b-1/4,c+1/8"
429,142,142:2,I 41/a c d:2,"a,b,c","a,b,c"
430,143,143,P 3,"a,b,c","a,b,c"
431,144,144,P 31,"a,b,c","a,b,c"
432,145,145,P 32,"a,b,c","a,b,c"
433,146,146:H,R 3:H,"a,b,c","a,b,c"
434,146,146:R,R 3:R,"2/3a+1/3b+1/3c,-1/3a+1/3b+1/3c,-1/3a-2/3b+1/3c","a-b,b-c,a+b+c"
435,147,147,P -3,"a,b,c","a,b,c"
436,148,148:H,R -3:H,"a,b,c","a,b,c"
