plate_unique,plate_id,plate_well,rfu
plate_0,RFP_1_plate_1_shaking,A1,27.081
plate_0,RFP_1_plate_1_shaking,A2,22.001
plate_0,RFP_1_plate_1_shaking,A3,12.949
plate_0,RFP_1_plate_1_shaking,A4,10.328
plate_0,RFP_1_plate_1_shaking,A5,9.264
plate_0,RFP_1_plate_1_shaking,A6,10.017
plate_0,RFP_1_plate_1_shaking,A7,9.373
plate_0,RFP_1_plate_1_shaking,A8,9.049
plate_0,RFP_1_plate_1_shaking,A9,3.78
plate_0,RFP_1_plate_1_shaking,A10,3.915
plate_0,RFP_1_plate_1_shaking,A11,3.403
plate_0,RFP_1_plate_1_shaking,A12,4.281
plate_0,RFP_1_plate_1_shaking,B1,25.697
plate_0,RFP_1_plate_1_shaking,B2,19.707
plate_0,RFP_1_plate_1_shaking,B3,12.412
plate_0,RFP_1_plate_1_shaking,B4,9.651
plate_0,RFP_1_plate_1_shaking,B5,8.894
plate_0,RFP_1_plate_1_shaking,B6,8.37
plate_0,RFP_1_plate_1_shaking,B7,7.89
plate_0,RFP_1_plate_1_shaking,B8,7.958
plate_0,RFP_1_plate_1_shaking,B9,3.715
plate_0,RFP_1_plate_1_shaking,B10,3.585
plate_0,RFP_1_plate_1_shaking,B11,3.746
plate_0,RFP_1_plate_1_shaking,B12,3.714
plate_0,RFP_1_plate_1_shaking,C1,25.426
plate_0,RFP_1_plate_1_shaking,C2,19.263
plate_0,RFP_1_plate_1_shaking,C3,11.831
plate_0,RFP_1_plate_1_shaking,C4,9.171
plate_0,RFP_1_plate_1_shaking,C5,8.649
plate_0,RFP_1_plate_1_shaking,C6,8.361
plate_0,RFP_1_plate_1_shaking,C7,8.079
plate_0,RFP_1_plate_1_shaking,C8,7.718
plate_0,RFP_1_plate_1_shaking,C9,15.364
plate_0,RFP_1_plate_1_shaking,C10,4.03
plate_0,RFP_1_plate_1_shaking,C11,3.689
plate_0,RFP_1_plate_1_shaking,C12,3.778
plate_0,RFP_1_plate_1_shaking,D1,23.99
plate_0,RFP_1_plate_1_shaking,D2,17.737
plate_0,RFP_1_plate_1_shaking,D3,11.529
plate_0,RFP_1_plate_1_shaking,D4,9.028
plate_0,RFP_1_plate_1_shaking,D5,8.39
plate_0,RFP_1_plate_1_shaking,D6,7.138
plate_0,RFP_1_plate_1_shaking,D7,8.295
plate_0,RFP_1_plate_1_shaking,D8,7.614
plate_0,RFP_1_plate_1_shaking,D9,7.941
plate_0,RFP_1_plate_1_shaking,D10,4.104
plate_0,RFP_1_plate_1_shaking,D11,3.449
plate_0,RFP_1_plate_1_shaking,D12,4.18
plate_0,RFP_1_plate_1_shaking,E1,25.575
plate_0,RFP_1_plate_1_shaking,E2,18.693
plate_0,RFP_1_plate_1_shaking,E3,13.842
plate_0,RFP_1_plate_1_shaking,E4,8.801
plate_0,RFP_1_plate_1_shaking,E5,8.617
plate_0,RFP_1_plate_1_shaking,E6,8.761
plate_0,RFP_1_plate_1_shaking,E7,7.607
plate_0,RFP_1_plate_1_shaking,E8,6.783
plate_0,RFP_1_plate_1_shaking,E9,7.665
plate_0,RFP_1_plate_1_shaking,E10,3.995
plate_0,RFP_1_plate_1_shaking,E11,3.699
plate_0,RFP_1_plate_1_shaking,E12,4.007
plate_0,RFP_1_plate_1_shaking,F1,20.263
plate_0,RFP_1_plate_1_shaking,F2,18.744
plate_0,RFP_1_plate_1_shaking,F3,10.524
plate_0,RFP_1_plate_1_shaking,F4,9.07
plate_0,RFP_1_plate_1_shaking,F5,8.943
plate_0,RFP_1_plate_1_shaking,F6,8.472
plate_0,RFP_1_plate_1_shaking,F7,7.529
plate_0,RFP_1_plate_1_shaking,F8,7.117
plate_0,RFP_1_plate_1_shaking,F9,8.65
plate_0,RFP_1_plate_1_shaking,F10,3.783
plate_0,RFP_1_plate_1_shaking,F11,6.339
plate_0,RFP_1_plate_1_shaking,F12,4.157
plate_0,RFP_1_plate_1_shaking,G1,21.787
plate_0,RFP_1_plate_1_shaking,G2,18.651
plate_0,RFP_1_plate_1_shaking,G3,10.816
plate_0,RFP_1_plate_1_shaking,G4,10.301
plate_0,RFP_1_plate_1_shaking,G5,8.627
plate_0,RFP_1_plate_1_shaking,G6,8.416
plate_0,RFP_1_plate_1_shaking,G7,7.661
plate_0,RFP_1_plate_1_shaking,G8,7.283
plate_0,RFP_1_plate_1_shaking,G9,5.94
plate_0,RFP_1_plate_1_shaking,G10,4.305
plate_0,RFP_1_plate_1_shaking,G11,3.25
plate_0,RFP_1_plate_1_shaking,G12,4.08
plate_0,RFP_1_plate_1_shaking,H1,24.003
plate_0,RFP_1_plate_1_shaking,H2,25.557
plate_0,RFP_1_plate_1_shaking,H3,13.775
plate_0,RFP_1_plate_1_shaking,H4,9.558
plate_0,RFP_1_plate_1_shaking,H5,9.963
plate_0,RFP_1_plate_1_shaking,H6,8.959
plate_0,RFP_1_plate_1_shaking,H7,9.242
plate_0,RFP_1_plate_1_shaking,H8,7.568
plate_0,RFP_1_plate_1_shaking,H9,8.265
plate_0,RFP_1_plate_1_shaking,H10,4.019
plate_0,RFP_1_plate_1_shaking,H11,3.611
plate_0,RFP_1_plate_1_shaking,H12,4.035
plate_1,RFP_2_plate_1,A1,28.266
plate_1,RFP_2_plate_1,A2,18.098
plate_1,RFP_2_plate_1,A3,9.273
plate_1,RFP_2_plate_1,A4,8.691
plate_1,RFP_2_plate_1,A5,9.489
plate_1,RFP_2_plate_1,A6,10.369
plate_1,RFP_2_plate_1,A7,9.442
plate_1,RFP_2_plate_1,A8,9.72
plate_1,RFP_2_plate_1,A9,9.488
plate_1,RFP_2_plate_1,A10,3.764
plate_1,RFP_2_plate_1,A11,3.405
plate_1,RFP_2_plate_1,A12,4.009
plate_1,RFP_2_plate_1,B1,27.338
plate_1,RFP_2_plate_1,B2,13.923
plate_1,RFP_2_plate_1,B3,8.203
plate_1,RFP_2_plate_1,B4,7.99
plate_1,RFP_2_plate_1,B5,8.682
plate_1,RFP_2_plate_1,B6,10.713
